Publisher,Total_Global_Sales
Data Design Interactive,290000.0
Wargaming.net,290000.0
Core Design Ltd.,290000.0
Excalibur Publishing,280000.0
Daedalic,280000.0
Nichibutsu,280000.0
Playmates,280000.0
Tru Blu Entertainment,280000.0
ASCII Media Works,270000.0
Liquid Games,270000.0
Vic Tokai,270000.0
Culture Brain,270000.0
CyberFront,270000.0
Telstar,270000.0
Syscom,270000.0
Pacific Century Cyber Works,260000.0
Nippon Telenet,260000.0
Vir2L Studios,260000.0
Paon,250000.0
Asgard,250000.0
Axela,250000.0
Yeti,240000.0
Xing Entertainment,240000.0
American Softworks,230000.0
Asmik Ace Entertainment,230000.0
Daito,230000.0
Detn8 Games,230000.0
Essential Games,230000.0
Vatical Entertainment,220000.0
O3 Entertainment,220000.0
Quinrose,220000.0
CCP,220000.0
Bomb,220000.0
System 3,220000.0
On Demand,210000.0
Sears,210000.0
Mercury Games,210000.0
Slitherine Software,210000.0
Tommo,210000.0
Alternative Software,200000.0
Funsta,200000.0
Merscom LLC,200000.0
CDV Software Entertainment,200000.0
Gamecock,200000.0
Funcom,200000.0
Micro Cabin,200000.0
Phenomedia,190000.0
SSI,190000.0
DHM Interactive,180000.0
Media Works,180000.0
Happinet,180000.0
Adeline Software,170000.0
Xicat Interactive,170000.0
Sunrise Interactive,170000.0
Panther Software,170000.0
Tivola,170000.0
Asmik Corp,170000.0
Aques,160000.0
White Park Bay Software,160000.0
Gainax Network Systems,160000.0
EA Games,150000.0
Global A Entertainment,150000.0
Data East,150000.0
Comfort,150000.0
General Entertainment,140000.0
Kaga Create,140000.0
HMH Interactive,140000.0
Imadio,140000.0
Game Arts,140000.0
Tripwire Interactive,140000.0
Sony Music Entertainment,140000.0
Daedalic Entertainment,140000.0
Havas Interactive,130000.0
SCS Software,130000.0
Moss,130000.0
Myelin Media,130000.0
DreamWorks Interactive,130000.0
responDESIGN,130000.0
Flight-Plan,120000.0
TopWare Interactive,120000.0
FunSoft,120000.0
SPS,120000.0
Bohemia Interactive,120000.0
T&E Soft,120000.0
